Unnamed: 0,name,mapped_data
40332,manipur imphal east india,",Imphal East,Manipur,India"
40333,tamil nadu ariyalur india,",Ariyalur,Tamil Nadu,India"
40334,arunachal pradesh   india,", ,Arunachal Pradesh,India"
40335,gujarat gandhinagar india,",Gandhinagar,Gujarat,India"
40336,meghalaya   india,", ,Meghalaya,India"
40337,rajasthan baran india,",Baran,Rajasthan,India"
40338,sikkim north district india,",North District,Sikkim,India"
40339,assam darrang india,",Darrang,Assam,India"
40340,uttar pradesh mainpuri india,",Mainpuri,Uttar Pradesh,India"
40341,assam dima hasao district india,",Dima Hasao District,Assam,India"
40342,rajasthan dausa india,",Dausa,Rajasthan,India"
40343,uttar pradesh mahoba india,",Mahoba,Uttar Pradesh,India"
40344,tamil nadu chennai india,",Chennai,Tamil Nadu,India"
40345,jharkhand deogarh india,",Deogarh,Jharkhand,India"
40346,bihar madhubani india,",Madhubani,Bihar,India"
40347,mizoram lunglei india,",Lunglei,Mizoram,India"
40348,bihar lakhisarai india,",Lakhisarai,Bihar,India"
40349,jharkhand lohardaga india,",Lohardaga,Jharkhand,India"
40350,uttarakhand champawat india,",Champawat,Uttarakhand,India"
40351,kashmir ladakh india,",Ladakh,Kashmir,India"
40352,bihar vaishali india,",Vaishali,Bihar,India"
40353,assam hailakandi india,",Hailakandi,Assam,India"
40354,assam goalpara india,",Goalpara,Assam,India"
40355,himachal pradesh lahul and spiti india,",Lahul and Spiti,Himachal Pradesh,India"
40356,chhattisgarh dhamtari india,",Dhamtari,Chhattisgarh,India"
40357,tamil nadu krishnagiri india,",Krishnagiri,Tamil Nadu,India"
40358,kashmir kulgam india,",Kulgam,Kashmir,India"
40359,odisha mayurbhanj india,",Mayurbhanj,Odisha,India"
40360,madhya pradesh anuppur india,",Anuppur,Madhya Pradesh,India"
40361,odisha koraput india,",Koraput,Odisha,India"
40362,chhattisgarh bastar india,",Bastar,Chhattisgarh,India"
40363,mizoram kolasib district india,",Kolasib district,Mizoram,India"
40364,assam kokrajhar india,",Kokrajhar,Assam,India"
40365,nagaland kohima india,",Kohima,Nagaland,India"
40366,jharkhand kodarma india,",Kodarma,Jharkhand,India"
40367,kashmir kishtwar india,",Kishtwar,Kashmir,India"
40368,uttar pradesh fatehpur india,",Fatehpur,Uttar Pradesh,India"
40369,odisha kendujhar india,",Kendujhar,Odisha,India"
40370,odisha khordha india,",Khordha,Odisha,India"
40371,jharkhand khunti india,",Khunti,Jharkhand,India"
40372,tripura   india,", ,Tripura,India"
40373,arunachal pradesh tirap india,",Tirap,Arunachal Pradesh,India"
40374,madhya pradesh harda india,",Harda,Madhya Pradesh,India"
40375,mizoram champhai india,",Champhai,Mizoram,India"
40376,odisha nuapada india,",Nuapada,Odisha,India"
40377,punjab ajitgarh india,",Ajitgarh,Punjab,India"
40378,uttar pradesh aligarh india,",Aligarh,Uttar Pradesh,India"
40379,bihar khagaria india,",Khagaria,Bihar,India"
40380,odisha kalahandi india,",Kalahandi,Odisha,India"
40381,laccadives lakshadweep india,",Lakshadweep,Laccadives,India"
40382,uttar pradesh shrawasti india,",Shrawasti,Uttar Pradesh,India"
