Unnamed: 0,name,mapped_data
15862,salem county new jersey,",Salem County,New Jersey,United States"
15863,camden county new jersey,",Camden County,New Jersey,United States"
15864,cape may county new jersey,",Cape May County,New Jersey,United States"
15865,ocean county new jersey,",Ocean County,New Jersey,United States"
15866,gloucester county new jersey,",Gloucester County,New Jersey,United States"
15867,cumberland county new jersey,",Cumberland County,New Jersey,United States"
15868,burlington county new jersey,",Burlington County,New Jersey,United States"
15869,brown county ohio,",Brown County,Ohio,United States"
15870,clermont county ohio,",Clermont County,Ohio,United States"
15871,darke county ohio,",Darke County,Ohio,United States"
15872,pickaway county ohio,",Pickaway County,Ohio,United States"
15873,athens county ohio,",Athens County,Ohio,United States"
15874,fairfield county ohio,",Fairfield County,Ohio,United States"
15875,belmont county ohio,",Belmont County,Ohio,United States"
15876,greene county ohio,",Greene County,Ohio,United States"
15877,butler county ohio,",Butler County,Ohio,United States"
15878,washington county ohio,",Washington County,Ohio,United States"
15879,madison county ohio,",Madison County,Ohio,United States"
15880,franklin county ohio,",Franklin County,Ohio,United States"
15881,clinton county ohio,",Clinton County,Ohio,United States"
15882,montgomery county ohio,",Montgomery County,Ohio,United States"
15883,licking county ohio,",Licking County,Ohio,United States"
15884,lawrence county ohio,",Lawrence County,Ohio,United States"
15885,guernsey county ohio,",Guernsey County,Ohio,United States"
15886,noble county ohio,",Noble County,Ohio,United States"
15887,preble county ohio,",Preble County,Ohio,United States"
15888,warren county ohio,",Warren County,Ohio,United States"
15889,perry county ohio,",Perry County,Ohio,United States"
15890,clark county ohio,",Clark County,Ohio,United States"
15891,ross county ohio,",Ross County,Ohio,United States"
15892,scioto county ohio,",Scioto County,Ohio,United States"
15893,gallia county ohio,",Gallia County,Ohio,United States"
15894,highland county ohio,",Highland County,Ohio,United States"
15895,jackson county ohio,",Jackson County,Ohio,United States"
15896,fayette county ohio,",Fayette County,Ohio,United States"
15897,hocking county ohio,",Hocking County,Ohio,United States"
15898,adams county ohio,",Adams County,Ohio,United States"
15899,vinton county ohio,",Vinton County,Ohio,United States"
15900,morgan county ohio,",Morgan County,Ohio,United States"
15901,meigs county ohio,",Meigs County,Ohio,United States"
15902,muskingum county ohio,",Muskingum County,Ohio,United States"
15903,pike county ohio,",Pike County,Ohio,United States"
15904,miami county ohio,",Miami County,Ohio,United States"
15905,monroe county ohio,",Monroe County,Ohio,United States"
15906,pontotoc county oklahoma,",Pontotoc County,Oklahoma,United States"
15907,ottawa county oklahoma,",Ottawa County,Oklahoma,United States"
15908,jackson county oklahoma,",Jackson County,Oklahoma,United States"
15909,woods county oklahoma,",Woods County,Oklahoma,United States"
15910,caddo county oklahoma,",Caddo County,Oklahoma,United States"
15911,pushmataha county oklahoma,",Pushmataha County,Oklahoma,United States"
15912,custer county oklahoma,",Custer County,Oklahoma,United States"
15913,carter county oklahoma,",Carter County,Oklahoma,United States"
15914,le flore county oklahoma,",Le Flore County,Oklahoma,United States"
15915,ellis county oklahoma,",Ellis County,Oklahoma,United States"
15916,atoka county oklahoma,",Atoka County,Oklahoma,United States"
15917,osage county oklahoma,",Osage County,Oklahoma,United States"
15918,washington county oklahoma,",Washington County,Oklahoma,United States"
15919,okmulgee county oklahoma,",Okmulgee County,Oklahoma,United States"
15920,oklahoma county oklahoma,",Oklahoma County,Oklahoma,United States"
15921,pottawatomie county oklahoma,",Pottawatomie County,Oklahoma,United States"
15922,tulsa county oklahoma,",Tulsa County,Oklahoma,United States"
15923,kay county oklahoma,",Kay County,Oklahoma,United States"
15924,mcclain county oklahoma,",McClain County,Oklahoma,United States"
15925,okfuskee county oklahoma,",Okfuskee County,Oklahoma,United States"
15926,stephens county oklahoma,",Stephens County,Oklahoma,United States"
15927,creek county oklahoma,",Creek County,Oklahoma,United States"
15928,mccurtain county oklahoma,",McCurtain County,Oklahoma,United States"
15929,harper county oklahoma,",Harper County,Oklahoma,United States"
15930,washita county oklahoma,",Washita County,Oklahoma,United States"
15931,rogers county oklahoma,",Rogers County,Oklahoma,United States"
15932,comanche county oklahoma,",Comanche County,Oklahoma,United States"
15933,bryan county oklahoma,",Bryan County,Oklahoma,United States"
15934,lincoln county oklahoma,",Lincoln County,Oklahoma,United States"
