Unnamed: 0,name,mapped_data
3676,north turramurra,"North Turramurra,City of Sydney,New South Wales,Australia"
3677,north sydney,"North Sydney,North Sydney,New South Wales,Australia"
3678,northmead,"Northmead,Parramatta,New South Wales,Australia"
3679,north fitzroy,"North Fitzroy,Yarra,Victoria,Australia"
3680,northcote,"Northcote,Darebin,Victoria,Australia"
3681,normanhurst,"Normanhurst,Ku-ring-gai,New South Wales,Australia"
3682,noosaville,"Noosaville,Sunshine Coast,Queensland,Australia"
3683,noosa heads,"Noosa Heads,Sunshine Coast,Queensland,Australia"
3684,noble park,"Noble Park,Greater Dandenong,Victoria,Australia"
3685,nimbin,"Nimbin,Lismore Municipality,New South Wales,Australia"
3686,newtown,"Newtown,Marrickville,New South Wales,Australia"
3687,newstead,"Newstead,Launceston,Tasmania,Australia"
3688,new norfolk,"New Norfolk,Derwent Valley,Tasmania,Australia"
3689,newnham,"Newnham,Launceston,Tasmania,Australia"
3690,nerang,"Nerang,Gold Coast,Queensland,Australia"
3691,nelson bay,"Nelson Bay,Port Stephens Shire,New South Wales,Australia"
3692,narromine,"Narromine,Narromine,New South Wales,Australia"
3693,narre warren north,"Narre Warren North,Casey,Victoria,Australia"
3694,narre warren,"Narre Warren,Casey,Victoria,Australia"
3695,narrandera,"Narrandera,Narrandera,New South Wales,Australia"
3696,narrabri,"Narrabri,Narrabri,New South Wales,Australia"
3697,narrabeen,"Narrabeen,Warringah,New South Wales,Australia"
3698,narooma,"Narooma,Eurobodalla,New South Wales,Australia"
3699,narellan,"Narellan,Camden,New South Wales,Australia"
3700,narara,"Narara,Gosford Shire,New South Wales,Australia"
3701,narangba,"Narangba,Moreton Bay,Queensland,Australia"
3702,naracoorte,"Naracoorte,Naracoorte and Lucindale,South Australia,Australia"
3703,nana glen,"Nana Glen,Coffs Harbour,New South Wales,Australia"
3704,nambucca heads,"Nambucca Heads,Nambucca Shire,New South Wales,Australia"
3705,nambucca,"Nambucca,Nambucca Shire,New South Wales,Australia"
3706,nambour,"Nambour,Sunshine Coast,Queensland,Australia"
3707,nabiac,"Nabiac,Great Lakes,New South Wales,Australia"
3708,muswellbrook,"Muswellbrook,Muswellbrook,New South Wales,Australia"
3709,murwillumbah,"Murwillumbah,Tweed,New South Wales,Australia"
3710,murrumbateman,"Murrumbateman,Yass Valley,New South Wales,Australia"
3711,mundulla,"Mundulla,Tatiara,South Australia,Australia"
3712,mulwala,"Mulwala,Corowa Shire,New South Wales,Australia"
3713,mulgrave,"Mulgrave,Monash,Victoria,Australia"
3714,mulgoa,"Mulgoa,Penrith Municipality,New South Wales,Australia"
3715,mudgee,"Mudgee,Mid-Western Regional,New South Wales,Australia"
3716,mount martha,"Mount Martha,Mornington Peninsula,Victoria,Australia"
3717,mount gambier,"Mount Gambier,Mount Gambier,South Australia,Australia"
3718,mount evelyn,"Mount Evelyn,Yarra Ranges,Victoria,Australia"
3719,mount eliza,"Mount Eliza,Mornington Peninsula,Victoria,Australia"
3720,mount druitt,"Mount Druitt,Blacktown,New South Wales,Australia"
3721,mount dandenong,"Mount Dandenong,Yarra Ranges,Victoria,Australia"
3722,mount colah,"Mount Colah,Hornsby Shire,New South Wales,Australia"
3723,mount clear,"Mount Clear,Ballarat North,Victoria,Australia"
3724,mount beauty,"Mount Beauty,Alpine,Victoria,Australia"
3725,moss vale,"Moss Vale,Wingecarribee,New South Wales,Australia"
