Unnamed: 0,name,mapped_data
12919,carbon county united states,",Carbon County,Pennsylvania,United States"
12920,forest county united states,",Forest County,Pennsylvania,United States"
12921,juniata county united states,",Juniata County,Pennsylvania,United States"
12922,providence county united states,",Providence County,Rhode Island,United States"
12923,newport county united states,",Newport County,Rhode Island,United States"
12924,hanson county united states,",Hanson County,South Dakota,United States"
12925,minnehaha county united states,",Minnehaha County,South Dakota,United States"
12926,brookings county united states,",Brookings County,South Dakota,United States"
12927,gregory county united states,",Gregory County,South Dakota,United States"
12928,brule county united states,",Brule County,South Dakota,United States"
12929,deuel county united states,",Deuel County,South Dakota,United States"
12930,kingsbury county united states,",Kingsbury County,South Dakota,United States"
12931,faulk county united states,",Faulk County,South Dakota,United States"
12932,moody county united states,",Moody County,South Dakota,United States"
12933,hutchinson county united states,",Hutchinson County,South Dakota,United States"
12934,miner county united states,",Miner County,South Dakota,United States"
12935,beadle county united states,",Beadle County,South Dakota,United States"
12936,edmunds county united states,",Edmunds County,South Dakota,United States"
12937,lyman county united states,",Lyman County,South Dakota,United States"
12938,charles mix county united states,",Charles Mix County,South Dakota,United States"
12939,hand county united states,",Hand County,South Dakota,United States"
12940,davison county united states,",Davison County,South Dakota,United States"
12941,aurora county united states,",Aurora County,South Dakota,United States"
12942,spink county united states,",Spink County,South Dakota,United States"
12943,mccook county united states,",McCook County,South Dakota,United States"
12944,roberts county united states,",Roberts County,South Dakota,United States"
12945,bon homme county united states,",Bon Homme County,South Dakota,United States"
12946,codington county united states,",Codington County,South Dakota,United States"
12947,day county united states,",Day County,South Dakota,United States"
12948,jerauld county united states,",Jerauld County,South Dakota,United States"
12949,tripp county united states,",Tripp County,South Dakota,United States"
12950,sanborn county united states,",Sanborn County,South Dakota,United States"
12951,yankton county united states,",Yankton County,South Dakota,United States"
12952,bennington county united states,",Bennington County,Vermont,United States"
12953,rutland county united states,",Rutland County,Vermont,United States"
12954,addison county united states,",Addison County,Vermont,United States"
12955,chittenden county united states,",Chittenden County,Vermont,United States"
12956,windsor county united states,",Windsor County,Vermont,United States"
12957,caledonia county united states,",Caledonia County,Vermont,United States"
12958,lamoille county united states,",Lamoille County,Vermont,United States"
12959,grand isle county united states,",Grand Isle County,Vermont,United States"
12960,kewaunee county united states,",Kewaunee County,Wisconsin,United States"
12961,eau claire county united states,",Eau Claire County,Wisconsin,United States"
12962,langlade county united states,",Langlade County,Wisconsin,United States"
12963,outagamie county united states,",Outagamie County,Wisconsin,United States"
12964,trempealeau county united states,",Trempealeau County,Wisconsin,United States"
12965,marathon county united states,",Marathon County,Wisconsin,United States"
12966,saint croix county united states,",Saint Croix County,Wisconsin,United States"
12967,la crosse county united states,",La Crosse County,Wisconsin,United States"
