,name,mapped_data
397,Samchi Bhutan,",,Samchi,Bhutan"
398,Pemagatsel Bhutan,",,Pemagatsel,Bhutan"
399,Samdrup Jongkhar Bhutan,",,Samdrup Jongkhar,Bhutan"
400,Kgalagadi Botswana,",,Kgalagadi,Botswana"
401,  Botswana,",, ,Botswana"
402,Central Botswana,",,Central,Botswana"
403,Kweneng Botswana,",,Kweneng,Botswana"
404,North West Botswana,",,North West,Botswana"
405,Southern Botswana,",,Southern,Botswana"
406,North East Botswana,",,North East,Botswana"
407,South East Botswana,",,South East,Botswana"
408,Kgatleng Botswana,",,Kgatleng,Botswana"
409,Ghanzi Botswana,",,Ghanzi,Botswana"
410,Grodnenskaya Belarus,",,Grodnenskaya,Belarus"
411,Minsk Belarus,",,Minsk,Belarus"
412,Gomel Belarus,",,Gomel,Belarus"
413,Brest Belarus,",,Brest,Belarus"
414,Mogilev Belarus,",,Mogilev,Belarus"
415,Vitebsk Belarus,",,Vitebsk,Belarus"
416,  Belarus,",, ,Belarus"
417,Orange Walk Belize,",,Orange Walk,Belize"
418,Belize Belize,",,Belize,Belize"
419,Cayo Belize,",,Cayo,Belize"
420,Toledo Belize,",,Toledo,Belize"
421,Stann Creek Belize,",,Stann Creek,Belize"
422,Corozal Belize,",,Corozal,Belize"
423,British Columbia Canada,",,British Columbia,Canada"
424,Quebec Canada,",,Quebec,Canada"
425,Alberta Canada,",,Alberta,Canada"
426,Ontario Canada,",,Ontario,Canada"
427,Prince Edward Island Canada,",,Prince Edward Island,Canada"
428,Manitoba Canada,",,Manitoba,Canada"
429,Nova Scotia Canada,",,Nova Scotia,Canada"
430,Saskatchewan Canada,",,Saskatchewan,Canada"
431,Newfoundland and Labrador Canada,",,Newfoundland and Labrador,Canada"
432,New Brunswick Canada,",,New Brunswick,Canada"
433,Nunavut Canada,",,Nunavut,Canada"
434,Northwest Territories Canada,",,Northwest Territories,Canada"
435,Yukon Canada,",,Yukon,Canada"
436,"Eastern Province Congo, Democratic Republic of the",",,Eastern Province,Congo, Democratic Republic of the"
437,"South Kivu Congo, Democratic Republic of the",",,South Kivu,Congo, Democratic Republic of the"
438,"Kasai-Occidental Congo, Democratic Republic of the",",,Kasai-Occidental,Congo, Democratic Republic of the"
439,"Nord Kivu Congo, Democratic Republic of the",",,Nord Kivu,Congo, Democratic Republic of the"
440,"Kasai-Oriental Congo, Democratic Republic of the",",,Kasai-Oriental,Congo, Democratic Republic of the"
441,"Equateur Congo, Democratic Republic of the",",,Equateur,Congo, Democratic Republic of the"
442,"Katanga Congo, Democratic Republic of the",",,Katanga,Congo, Democratic Republic of the"
443,"Maniema Congo, Democratic Republic of the",",,Maniema,Congo, Democratic Republic of the"
444,"Bas-Congo Congo, Democratic Republic of the",",,Bas-Congo,Congo, Democratic Republic of the"
445,"Bandundu Congo, Democratic Republic of the",",,Bandundu,Congo, Democratic Republic of the"
446,"Kinshasa Congo, Democratic Republic of the",",,Kinshasa,Congo, Democratic Republic of the"
447,Haut-Mbomou Central African Republic,",,Haut-Mbomou,Central African Republic"
448,  Central African Republic,",, ,Central African Republic"
449,Mbomou Central African Republic,",,Mbomou,Central African Republic"
450,Haute-Kotto Central African Republic,",,Haute-Kotto,Central African Republic"
451,Bamingui-Bangoran Central African Republic,",,Bamingui-Bangoran,Central African Republic"
452,Basse-Kotto Central African Republic,",,Basse-Kotto,Central African Republic"
453,Ouaka Central African Republic,",,Ouaka,Central African Republic"
454,Vakaga Central African Republic,",,Vakaga,Central African Republic"
455,Kemo Central African Republic,",,Kemo,Central African Republic"
456,Ouham-Pende Central African Republic,",,Ouham-Pende,Central African Republic"
457,Sangha-Mbaere Central African Republic,",,Sangha-Mbaere,Central African Republic"
458,Lobaye Central African Republic,",,Lobaye,Central African Republic"
459,Nana-Grebizi Central African Republic,",,Nana-Grebizi,Central African Republic"
460,Ouham Central African Republic,",,Ouham,Central African Republic"
461,Mambere-Kadei Central African Republic,",,Mambere-Kadei,Central African Republic"
462,Ombella-Mpoko Central African Republic,",,Ombella-Mpoko,Central African Republic"
463,Nana-Mambere Central African Republic,",,Nana-Mambere,Central African Republic"
464,Bangui Central African Republic,",,Bangui,Central African Republic"
465,Lekoumou Congo,",,Lekoumou,Congo"
466,Sangha Congo,",,Sangha,Congo"
467,Pointe-Noire Congo,",,Pointe-Noire,Congo"
468,Cuvette Congo,",,Cuvette,Congo"
469,Niari Congo,",,Niari,Congo"
470,Bouenza Congo,",,Bouenza,Congo"
471,Kouilou Congo,",,Kouilou,Congo"
472,Pool Congo,",,Pool,Congo"
473,Likouala Congo,",,Likouala,Congo"
474,Plateaux Congo,",,Plateaux,Congo"
475,Cuvette-Ouest Congo,",,Cuvette-Ouest,Congo"
