,name,mapped_data
327,Alagoas,",,Alagoas,Brazil"
328,Piaui,",,Piaui,Brazil"
329,Amazonas,",,Amazonas,Brazil"
330,Rio Grande do Norte,",,Rio Grande do Norte,Brazil"
331,Bahia,",,Bahia,Brazil"
332,Amapa,",,Amapa,Brazil"
333,Sergipe,",,Sergipe,Brazil"
334,Tocantins,",,Tocantins,Brazil"
335,Sao Paulo,",,Sao Paulo,Brazil"
336,Santa Catarina,",,Santa Catarina,Brazil"
337,Rio de Janeiro,",,Rio de Janeiro,Brazil"
338,Espirito Santo,",,Espirito Santo,Brazil"
339,Minas Gerais,",,Minas Gerais,Brazil"
340,Goias,",,Goias,Brazil"
341,Rio Grande do Sul,",,Rio Grande do Sul,Brazil"
342,Parana,",,Parana,Brazil"
343,Mato Grosso,",,Mato Grosso,Brazil"
344,Mato Grosso do Sul,",,Mato Grosso do Sul,Brazil"
345,Federal District,",,Federal District,Brazil"
346,Acre,",,Acre,Brazil"
347,Rondonia,",,Rondonia,Brazil"
348,Roraima,",,Roraima,Brazil"
349,West Grand Bahama,",,West Grand Bahama,Bahamas"
350,Spanish Wells,",,Spanish Wells,Bahamas"
351,North Andros,",,North Andros,Bahamas"
352,Rum Cay,",,Rum Cay,Bahamas"
353,New Providence,",,New Providence,Bahamas"
354,Inagua,",,Inagua,Bahamas"
355,Acklins,",,Acklins,Bahamas"
356,Central Abaco,",,Central Abaco,Bahamas"
357,Freeport,",,Freeport,Bahamas"
358,East Grand Bahama,",,East Grand Bahama,Bahamas"
359,Moore's Island,",,Moore's Island,Bahamas"
360,Central Eleuthera,",,Central Eleuthera,Bahamas"
361,Exuma,",,Exuma,Bahamas"
362,Harbour Island,",,Harbour Island,Bahamas"
363,Ragged Island,",,Ragged Island,Bahamas"
364,North Abaco,",,North Abaco,Bahamas"
365,Crooked Island and Long Cay,",,Crooked Island and Long Cay,Bahamas"
366,San Salvador,",,San Salvador,Bahamas"
367,Long Island,",,Long Island,Bahamas"
368,Black Point,",,Black Point,Bahamas"
369,Cat Island,",,Cat Island,Bahamas"
370,Bimini,",,Bimini,Bahamas"
371,Mayaguana,",,Mayaguana,Bahamas"
372,Wangdi Phodrang,",,Wangdi Phodrang,Bhutan"
373,Tongsa,",,Tongsa,Bhutan"
374,Thimphu,",,Thimphu,Bhutan"
375,Trashi Yangste,",,Trashi Yangste,Bhutan"
376,Tashigang,",,Tashigang,Bhutan"
377,Daga,",,Daga,Bhutan"
378,Shemgang,",,Shemgang,Bhutan"
379,Geylegphug,",,Geylegphug,Bhutan"
380,Punakha,",,Punakha,Bhutan"
381,Chhukha,",,Chhukha,Bhutan"
382,Paro,",,Paro,Bhutan"
383,Mongar,",,Mongar,Bhutan"
384,Lhuntshi,",,Lhuntshi,Bhutan"
385,Ha,",,Ha,Bhutan"
386,Gasa,",,Gasa,Bhutan"
387,Chirang,",,Chirang,Bhutan"
388,Bumthang,",,Bumthang,Bhutan"
389,Samchi,",,Samchi,Bhutan"
390,Pemagatsel,",,Pemagatsel,Bhutan"
391,Samdrup Jongkhar,",,Samdrup Jongkhar,Bhutan"
392,Kgalagadi,",,Kgalagadi,Botswana"
393,Central,",,Central,Botswana"
394,Kweneng,",,Kweneng,Botswana"
395,North West,",,North West,Botswana"
396,Southern,",,Southern,Botswana"
397,North East,",,North East,Botswana"
398,South East,",,South East,Botswana"
399,Kgatleng,",,Kgatleng,Botswana"
400,Ghanzi,",,Ghanzi,Botswana"
401,Grodnenskaya,",,Grodnenskaya,Belarus"
402,Minsk,",,Minsk,Belarus"
403,Gomel,",,Gomel,Belarus"
404,Brest,",,Brest,Belarus"
405,Mogilev,",,Mogilev,Belarus"
406,Vitebsk,",,Vitebsk,Belarus"
407,Orange Walk,",,Orange Walk,Belize"
408,Belize,",,Belize,Belize"
409,Cayo,",,Cayo,Belize"
410,Toledo,",,Toledo,Belize"
411,Stann Creek,",,Stann Creek,Belize"
412,Corozal,",,Corozal,Belize"
413,British Columbia,",,British Columbia,Canada"
414,Quebec,",,Quebec,Canada"
415,Alberta,",,Alberta,Canada"
416,Ontario,",,Ontario,Canada"
417,Prince Edward Island,",,Prince Edward Island,Canada"
418,Manitoba,",,Manitoba,Canada"
419,Nova Scotia,",,Nova Scotia,Canada"
420,Saskatchewan,",,Saskatchewan,Canada"
421,Newfoundland and Labrador,",,Newfoundland and Labrador,Canada"
422,New Brunswick,",,New Brunswick,Canada"
423,Nunavut,",,Nunavut,Canada"
424,Northwest Territories,",,Northwest Territories,Canada"
425,Yukon,",,Yukon,Canada"
426,Eastern Province,",,Eastern Province,Congo, Democratic Republic of the"
427,South Kivu,",,South Kivu,Congo, Democratic Republic of the"
